participantId,trialId,trialOrder,responseId,status,percentComplete,instruction,responsePrompt,answer
"035937d9-697f-411c-a59e-4b3b73d034ae","participantTags","null","participantTags","undefined","undefined","undefined","undefined","[""Study Tasks""]"
"080a29f9-a401-4597-af0c-4bd077803ee6","participantTags","null","participantTags","undefined","undefined","undefined","undefined","[]"
"080a29f9-a401-4597-af0c-4bd077803ee6","Red 3","2","html-response","completed","100.00","What percentage is the lighter value relative to the darker one?","Answer:","25"
"080a29f9-a401-4597-af0c-4bd077803ee6","Blue 1","3","html-response","completed","100.00","What percentage is the lighter value relative to the darker one?","Answer:","44"
"080a29f9-a401-4597-af0c-4bd077803ee6","Red 4","4","html-response","completed","100.00","What percentage is the lighter value relative to the darker one?","Answer:","24"
"080a29f9-a401-4597-af0c-4bd077803ee6","Red 1","5","html-response","completed","100.00","What percentage is the lighter value relative to the darker one?","Answer:","28"
"080a29f9-a401-4597-af0c-4bd077803ee6","Blue 2","6","html-response","completed","100.00","What percentage is the lighter value relative to the darker one?","Answer:","13"
"080a29f9-a401-4597-af0c-4bd077803ee6","Blue 3","7","html-response","completed","100.00","What percentage is the lighter value relative to the darker one?","Answer:","55"
"080a29f9-a401-4597-af0c-4bd077803ee6","Red 2","8","html-response","completed","100.00","What percentage is the lighter value relative to the darker one?","Answer:","68"
"080a29f9-a401-4597-af0c-4bd077803ee6","Blue 4","9","html-response","completed","100.00","What percentage is the lighter value relative to the darker one?","Answer:","31"
"080a29f9-a401-4597-af0c-4bd077803ee6","Green 4","10","html-response","completed","100.00","What percentage is the lighter value relative to the darker one?","Answer:","35"
"080a29f9-a401-4597-af0c-4bd077803ee6","Green 1","11","html-response","completed","100.00","What percentage is the lighter value relative to the darker one?","Answer:","11"
"080a29f9-a401-4597-af0c-4bd077803ee6","Green 3","12","html-response","completed","100.00","What percentage is the lighter value relative to the darker one?","Answer:","9"
"080a29f9-a401-4597-af0c-4bd077803ee6","Green 2","13","html-response","completed","100.00","What percentage is the lighter value relative to the darker one?","Answer:","57"
"080a29f9-a401-4597-af0c-4bd077803ee6","survey","14","surveyExperience","completed","100.00","undefined","Did you experience any problems with our tool?","no"
"080a29f9-a401-4597-af0c-4bd077803ee6","survey","14","surveyRenderIssues","completed","100.00","undefined","Did anything not render or display properly?","no"
"080a29f9-a401-4597-af0c-4bd077803ee6","survey","14","surveyOtherIssues","completed","100.00","undefined","Any other issues or anything you would like to tell us?","no"
"08561dda-a96d-4a38-aabb-a00d4ff55819","participantTags","null","participantTags","undefined","undefined","undefined","undefined","[]"
"08561dda-a96d-4a38-aabb-a00d4ff55819","Green 3","2","html-response","completed","100.00","What is the difference in shade of the two dots marked with black?","Answer:","60"
